"","X","Sp_name","Area_England","Area_Score","Area_Sp","WoodlandOpp_Sp","Areaforplanting","England_target","Coniferous_Woodland","Arable_Horticulture","Improved_Grassland","Neutral_Grassland","Calcareous_Grassland","Acid_grassland","Fen_Marsh_Swamp","Heather","Heather_grassland","Bog","Inland_Rock","Saltwater","Freshwater","Supralittoral_Rock","Supralittoral_Sediment","Littoral_Rock","Littoral_Sediment","Saltmarsh","Urban","Suburban","Species"
"1",1,11,13046319,1858448,11421731,1594766,52860,61600,25.45,2635.32,38027.85,342.53,1593.99,2822.32,33.27,182.3,846.89,50.44,297.23,0.19,637.86,13.05,28.01,6.21,6.53,74.55,411.95,4824.06,"Dama dama"
"2",1,12,13046319,1858448,7776163,995427,32994,61600,14.44,2150.53,25067.65,159.64,487.01,701.71,33.99,89.34,25.8,0.1,122.83,0.22,413.45,15.51,18.65,1.34,5.91,70.03,261.33,3354.52,"Eptesicus serotinus"
"3",1,13,13046319,1858448,12941079,1854250,61461,61600,36.3,2931.47,44330.35,343.91,1777.65,3839.35,33.08,223.22,1044.29,74.12,325.38,0.28,669.74,18.13,47.65,7.69,7.54,88.31,433.84,5228.7,"Erinaceus europaeus"
"4",1,15,13046319,1858448,236818,25863,857,61600,0.03,64.97,657.41,1.38,20.32,0,0,0.59,0.65,0,0,0,14.19,0,0,0,0,0,10.77,86.69,"Glis glis"
"5",1,16,13046319,1858448,1810342,113857,3774,61600,1.16,381.83,2547.89,73.67,21.59,6.04,20.55,6.07,7.25,0,0,0,80.5,0,0.42,0,0,0.97,66.41,559.65,"Hydropotes inermis"
"6",1,17,13046319,1858448,12894292,1853468,61435,61600,35.39,2936.26,44316.47,347.83,1767.54,3834.69,32.98,220.95,1054.04,72.51,327.87,0.29,669.27,17.78,47.56,7.45,7.97,88.31,429.99,5219.85,"Lepus europaeus"
"7",1,18,13046319,1858448,242297,85570,2836,61600,0.75,5.03,1300.64,0,356.18,644.82,0,16.41,95.74,1.21,74.06,0,37.06,0,0,0,0,0,17.19,286.91,"Lepus timidus"
"8",1,19,13046319,1858448,12520947,1814948,60158,61600,35.2,2895.49,43412.76,347.98,1609.55,3835.97,30.55,222.66,1049.74,73.67,327.9,0.26,655.71,18.87,46.99,7,7.47,87.02,422.97,5070.24,"Lutra lutra"
"9",1,1,13046319,1858448,5576034,574340,19037,61600,5.26,1074.62,13817.98,29.44,413.37,742.51,22.62,62.75,17.28,0,30.5,0.09,297.32,0.05,3.23,0,1.43,24.43,208.44,2285.68,"Apodemus flavicollis"
"10",1,20,13046319,1858448,300089,63550,2106,61600,0.41,72.96,1286.47,20.56,234.93,240.04,0,4.94,1.56,0,32.45,0,24.68,0,0,0,0,0,15.14,171.86,"Macropus rufogriseus"
"11",1,21,13046319,1858448,1231635,298823,9905,61600,13.54,173.08,7267.49,2.97,28,1582.04,0.62,58.63,114.14,27.44,19.81,0,52.22,0.05,12,0.39,0.48,5.7,26.35,520.05,"Martes martes"
"12",1,22,13046319,1858448,12940014,1854250,61461,61600,35.55,2939.15,44321.93,343.88,1765.37,3839.7,33.52,220.75,1053.9,74.32,326.57,0.29,673.98,18.54,47.26,7.77,7.09,88.97,433.74,5228.72,"Meles meles"
"13",1,23,13046319,1858448,10121738,1225896,40633,61600,17.02,2599.16,29724.69,332.01,1276.68,1125.52,32.89,172.34,127.32,2.96,271.12,0.22,512.33,15.93,27.57,6.04,7.12,79.96,331.96,3970.16,"Micromys minutus"
"14",1,24,13046319,1858448,12844875,1853203,61426,61600,35.59,2936.55,44295.1,346.32,1769.81,3838.64,32.98,223.01,1057.6,72.72,328.16,0.23,666.31,18.98,47.81,7.65,7.78,88.45,437.08,5215.23,"Microtus agrestis"
"15",1,26,13046319,1858448,11073801,1441231,47771,61600,22.17,2500.35,34731.02,330.75,1468.37,2404.46,32.28,168.89,380.23,35.73,235.71,0.1,586.86,13.09,20.98,2.79,4.64,63.57,377.33,4391.68,"Muntiacus reevesi"
"16",1,27,13046319,1858448,10506310,1486721,49279,61600,27.05,2589.46,35670.37,216.32,1211.86,2850.36,33.56,191.22,556.34,48.61,308.73,0.2,517.99,15.46,38.43,3.61,6.14,81.25,347,4565.04,"Mus musculus"
"17",1,28,13046319,1858448,6731227,1112351,36870,61600,14.9,2042.61,27833.89,172.51,1049.89,1359.5,12.46,97.53,27.85,0.1,219.97,0.16,348.11,17.61,30.01,2.15,6.61,75.77,236.2,3322.17,"Muscardinus avellanarius"
"18",1,29,13046319,1858448,12773087,1838933,60953,61600,35.85,2894.69,43911.33,340.15,1773.25,3837.84,34.29,224.48,1058.01,72.62,327.46,0.28,659.75,18.89,49.26,7.38,7.74,88.52,426.52,5184.69,"Mustela erminea"
"19",1,2,13046319,1858448,12710068,1840202,60995,61600,35.4,2926.68,44040.5,344.07,1714.85,3775.47,32.83,223.24,1032.12,61.77,322.76,0.23,666.1,18.08,48.85,7.43,7.63,88.36,431.82,5216.81,"Apodemus sylvaticus"
"20",1,30,13046319,1858448,12889011,1852571,61405,61600,35.8,2936.77,44271.78,346.78,1770.46,3831.58,34.93,223.19,1058.41,72.87,327.9,0.2,664.14,19.05,48.2,6.72,7.26,89.14,434.45,5225.37,"Mustela nivalis"
"21",1,31,13046319,1858448,8516744,1222088,40507,61600,17.79,1733.31,29459.56,313.27,1177.7,2564.5,14.37,101.57,370.09,30.87,186.96,0.08,535.95,1.19,22.21,0.89,1.55,35.79,326.41,3612.94,"Mustela putorius"
"22",1,32,13046319,1858448,156623,23705,786,61600,0.11,33.65,634.12,0.07,2.48,0.19,0,0,0,0,0,0,5.48,0,0,0,0,4.73,1.49,103.68,"Myodes glareolus subsp skomerensis"
"23",1,33,13046319,1858448,12489869,1826425,60539,61600,32.79,2880.46,43642.49,341.18,1768.03,3756.38,33.05,221.94,1041.71,71.9,327.71,0.32,652.38,18.61,49.44,6.66,7.84,88.62,419.96,5177.53,"Myodes glareolus"
