Sp_name,Area_England,Area_Score,Area_Sp,WoodlandOpp_Sp,Areaforplanting,England_target,Coniferous_Woodland,Arable_Horticulture,Improved_Grassland,Neutral_Grassland,Calcareous_Grassland,Acid_grassland,Fen_Marsh_Swamp,Heather,Heather_grassland,Bog,Inland_Rock,Saltwater,Freshwater,Supralittoral_Rock,Supralittoral_Sediment,Littoral_Rock,Littoral_Sediment,Saltmarsh,Urban,Suburban,Species
11,13046319,1858448,11421731,1594766,197710,230400,95.12,9889.74,142187.63,1282.31,5952.09,10591.06,120.92,683.4,3162.79,187.89,1121.47,1,2382.35,49.53,103.48,21.69,25.41,282.25,1525.06,18044.81,Dama dama
12,13046319,1858448,7776163,995427,123407,230400,54.54,8015.39,93795.71,596.89,1808.79,2632.58,123.04,331.14,96.78,0.21,452.78,0.83,1532.87,57.96,71.98,5.44,22.81,270.38,990.3,12546.58,Eptesicus serotinus
13,13046319,1858448,12941079,1854250,229880,230400,133.52,11000.45,165746.63,1292.83,6623.59,14359.53,126.58,838.14,3941.18,275.85,1220.41,0.83,2506.31,68.58,180.12,28.2,27.86,329.9,1630.32,19549.17,Erinaceus europaeus
15,13046319,1858448,236818,25863,3206,230400,0.15,244.71,2455.34,5.65,77.43,0,0,2.06,2.78,0,0,0,54.09,0,0,0,0,0,38.47,325.32,Glis glis
16,13046319,1858448,1810342,113857,14115,230400,4.35,1412.47,9530.94,268.04,81.16,23.63,78.01,23.99,27.51,0,0,0,301.48,0,1.72,0,0,4.02,248.43,2109.25,Hydropotes inermis
17,13046319,1858448,12894292,1853468,229783,230400,133.53,10962.14,165737.36,1291.39,6622.69,14336.77,126,824.98,3951.75,274.71,1217.13,0.91,2506.15,69.39,178.84,27.51,27.54,330.1,1622.44,19541.67,Lepus europaeus
18,13046319,1858448,242297,85570,10608,230400,2.87,18.91,4861.9,0,1339.02,2411.56,0,62.3,361.2,4.67,274.73,0,134.19,0,0,0,0,0,65.58,1071.07,Lepus timidus
19,13046319,1858448,12520947,1814948,225007,230400,133.56,10840.5,162301.06,1291.82,6055.3,14349.3,119.79,829.37,3943.64,274.84,1223.2,1.01,2449.46,68.14,169.64,28.98,27.58,322.24,1579.56,18998.01,Lutra lutra
1,13046319,1858448,5576034,574340,71203,230400,19.11,4017.94,51697.13,111.25,1547.66,2751.96,81.98,240.06,63.3,0,117.6,0.35,1118.29,0.37,11.27,0,5.07,92.62,777.44,8549.6,Apodemus flavicollis
20,13046319,1858448,300089,63550,7879,230400,1.24,280.59,4801.52,78.35,872.52,897.46,0,19.6,5.82,0,123.17,0,95.63,0,0,0,0,0,57.3,645.8,Macropus rufogriseus
