"","...1","LCM_Broad","AreaTotal","Estimate","LowerCI","UpperCI","AreaPercent","PopSizePercent","No.Experts","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19"
"1","1","Arable_and_horticulture",62500,1.42,1.05,3.58,36.4,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","2","Broad_leaved,_mixed_and_yew_woodland",13100,15,8,38,7.6,26,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","3","Built_up_areas_and_gardens",13700,9.32,4.76,12.91,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","4","Improved_grassland",71300,4.68,3.91,6.42,41.5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","6","Rough_low-productivity_grassland",11200,1.25,NA,NA,6.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,626,NA,NA
"7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519000,350000,961000,NA,NA,NA,NA
"11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85000,63000,140000,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604000,413000,1101000,NA,30222,NA,NA
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,562400,NA,961000,711140
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267000,197580
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,140000,103600
"20",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1370000,1013800
