"","X","Sp_name","Area_Wales","Area_Score","Area_Sp","WoodlandOpp_Sp","Areaforplanting","Wales_target","Broadleaved_woodland","Coniferous_Woodland","Arable_Horticulture","Improved_Grassland","Neutral_Grassland","Calcareous_Grassland","Acid_grassland","Fen_Marsh_Swamp","Heather_grassland","Bog","Inland_Rock","Saltwater","Freshwater","Supralittoral_Rock","Supralittoral_Sediment","Saltmarsh","Urban","Suburban","Heather","Littoral_Sediment","Species"
"1",1,1,2078218,234839,1062828,77061,32814,1e+05,590.18,7.15,1808.39,26317.59,805.26,1.2,818.8,56.9,46.2,1.68,14.28,2.68,117.27,1.32,23.33,11.15,116.73,2073.89,0,0,"Apodemus flavicollis"
"2",1,10,2078218,234839,2357010,212028,90287,1e+05,1390.33,16.12,4264.81,70795.23,3724.6,1.39,2371.57,571.7,289.6,1.75,53.29,2.69,168.2,4.37,96.65,198.04,380.24,5938.34,17.15,0.93,"Crocidura suaveolens"
"3",1,11,2078218,234839,2326995,209297,89124,1e+05,1342.72,15.6,3764.82,70323.44,3750.47,1.21,2366.96,605.56,223.68,1.67,52.98,2.51,171.94,1.14,117.58,200.57,353.48,5810.15,16.78,0.74,"Dama dama"
"4",1,12,2078218,234839,1522201,142649,60743,1e+05,1188.79,9.65,2939.45,48385.4,1277.92,1.17,982.83,276.56,259.73,0,31.39,0,62.11,4.86,70.41,177.27,232.66,4836.45,6.35,0,"Eptesicus serotinus"
"5",1,13,2078218,234839,2549381,234703,99942,1e+05,1485.28,15.58,4422.92,79295.9,3753.18,1.19,2388.82,651.58,299.1,1.73,54.19,2.57,172.22,4.54,149.6,213.5,381.19,6630.34,17.1,1.47,"Erinaceus europaeus"
"6",1,17,2078218,234839,2548234,234703,99942,1e+05,1480.93,15.66,4415.21,79319.49,3737.97,1.2,2387.9,652.11,299.74,1.7,54.23,2.5,172.33,4.75,149.31,217.19,382.2,6629.14,17.04,1.4,"Lepus europaeus"
"7",1,19,2078218,234839,2549381,234703,99942,1e+05,1478.57,16.3,4412.92,79323.58,3751.18,1.33,2388.54,651.92,296.93,1.6,54.14,2.53,172.7,4.66,151.72,214.71,381,6619.26,17.17,1.24,"Lutra lutra"
"8",1,2,2078218,234839,2489272,231462,98562,1e+05,1403.23,15.92,4299.04,78463.23,3756.04,1.41,2236.98,646.97,270.47,1.6,52.36,2.47,171.49,4.74,150.35,215.37,380.21,6471.19,17.64,1.29,"Apodemus sylvaticus"
"9",1,21,2078218,234839,1173766,72612,30920,1e+05,201.89,5.39,974.77,24819.63,1890.13,0,1284.75,24.72,33.44,0,14.08,1.9,38.53,0,21.1,27.42,171.18,1405.85,4.82,0.4,"Martes martes"
"10",1,22,2078218,234839,2549381,234703,99942,1e+05,1481.22,16.01,4413.1,79310.39,3748.08,1.22,2388.98,652.25,298.78,1.9,54.61,2.51,172.15,4.76,150.04,214.02,380.4,6632.97,17.34,1.27,"Meles meles"
"11",1,23,2078218,234839,912414,75743,32253,1e+05,462.61,1.99,1846.56,24425.72,2239.52,0,334.03,330.38,77.62,1.43,23.85,2.36,70.45,0.84,31.88,76.48,153.16,2164.23,9.08,0.81,"Micromys minutus"
"12",1,24,2078218,234839,2382946,205467,87493,1e+05,1074.62,14.89,4204.86,69229.88,3753.24,1.31,2318.36,547.98,178.75,1.87,45.66,2.72,173.99,2.96,124.71,185.18,370.46,5242.45,17.82,1.29,"Microtus agrestis"
"13",1,26,2078218,234839,1602234,116935,49794,1e+05,439.63,9.34,2823.29,39175.6,2152.34,1.22,1595.16,150.68,31.85,0,17.2,0,156.53,0,31.76,36.65,220.13,2941.88,10.26,0.48,"Muntiacus reevesi"
"14",1,27,2078218,234839,1391358,93401,39772,1e+05,458.68,6.98,2445.19,30242.06,2367.76,0,1322.37,54.44,71.07,0,15.74,0,119.68,2.72,25.24,60.68,239.26,2328.85,11.28,0,"Mus musculus"
