"","X","Sp_name","Area_Wales","Area_Score","Area_Sp","WoodlandOpp_Sp","Areaforplanting","Wales_target","Coniferous_Woodland","Arable_Horticulture","Improved_Grassland","Neutral_Grassland","Calcareous_Grassland","Acid_grassland","Fen_Marsh_Swamp","Heather","Heather_grassland","Bog","Inland_Rock","Saltwater","Freshwater","Supralittoral_Rock","Supralittoral_Sediment","Littoral_Sediment","Saltmarsh","Urban","Suburban","Species"
"1",1,11,2078218,234839,2326995,209297,160423,180000,29.18,6873.8,128559.84,6847.88,2.36,4328.24,1110.55,31,405.93,3.04,99.21,4.46,312.08,2.27,217.53,1.44,364.82,647.58,10581.79,"Dama dama"
"2",1,12,2078218,234839,1522201,142649,109338,180000,17.99,5401.99,88845.93,2344.4,2.45,1797.67,507.12,11.88,479.71,0,57.92,0,115.28,8.66,125.94,0,324.82,425.39,8870.85,"Eptesicus serotinus"
"3",1,13,2078218,234839,2549381,234703,179896,180000,28.46,8077.07,144897.76,6853.07,2.29,4367.51,1191.77,31.78,544.42,3.08,98.82,4.62,315.09,8.48,273.69,2.53,392.51,695.46,12107.59,"Erinaceus europaeus"
"4",1,17,2078218,234839,2548234,234703,179896,180000,28.66,8082.54,144900.29,6848.3,2.36,4357.26,1191.71,31.94,545.97,3.2,98.37,4.58,315.73,8.33,274.02,2.31,391.9,696.71,12111.82,"Lepus europaeus"
"5",1,19,2078218,234839,2549381,234703,179896,180000,29.19,8081.26,144900.51,6850.88,2.24,4361.29,1195.04,31.75,545.95,3.12,98.64,4.75,315.97,8.77,274.56,2.4,393.99,694.48,12101.21,"Lutra lutra"
"6",1,1,2078218,234839,1062828,77061,59066,180000,13.31,3313.77,48224.1,1477.76,2.26,1502.92,103.37,0,85.6,3.13,26.57,4.84,212.02,2.41,42.97,0,20.17,214.5,3816.3,"Apodemus flavicollis"
"7",1,21,2078218,234839,1173766,72612,55656,180000,10.24,1760.47,44981.41,3426.58,0,2324.26,44.47,8.33,61.21,0,26.16,3.03,70.1,0,37.53,0.78,49.34,308.77,2543.32,"Martes martes"
"8",1,22,2078218,234839,2549381,234703,179896,180000,28.73,8083.83,144908.9,6847.08,2.36,4357.06,1191.54,32.13,544.68,3.22,98.58,4.63,314.54,8.45,273.33,2.43,392.09,698.14,12104.28,"Meles meles"
"9",1,23,2078218,234839,912414,75743,58056,180000,3.92,3367.07,44611.94,4092.78,0,613.83,600.43,16.55,142.1,3.16,44.98,4.56,126.49,1.64,56.77,1.57,139.16,282.97,3946.08,"Micromys minutus"
"10",1,24,2078218,234839,2382946,205467,157487,180000,27.29,7660.63,126170.32,6831.04,2.39,4218.56,1003.11,31.66,322.83,3.05,81.9,4.66,314.88,5.34,225.99,2.14,337.16,678.07,9565.98,"Microtus agrestis"
"11",1,26,2078218,234839,1602234,116935,89629,180000,16.92,5106.05,71184.2,3906.92,2.29,2896.95,271.89,19.36,59.06,0,31.21,0,282.78,0,58.1,0.76,66.69,401.69,5324.13,"Muntiacus reevesi"
"12",1,27,2078218,234839,1391358,93401,71590,180000,12.14,4453.69,55077.5,4312.41,0,2409.33,101.25,20.14,128.08,0,27.78,0,218.6,5.58,46.74,0,108.08,435.95,4232.73,"Mus musculus"
"13",1,28,2078218,234839,1867965,172367,132116,180000,25.53,7209.9,104239.05,5451.05,2.43,3781.16,357.6,21.67,447.07,3.12,50.04,4.62,305.35,5.55,90.24,0,304.37,686.71,9130.54,"Muscardinus avellanarius"
"14",1,29,2078218,234839,2124317,178125,136530,180000,22.75,6750.33,108628.04,6804.85,2.33,3927.24,947.57,31.39,313.87,2.94,73.63,4.61,305.55,5.56,233.54,2.29,322.7,602.12,7548.69,"Mustela erminea"
"15",1,2,2078218,234839,2489272,231462,177412,180000,28.36,7856.36,143270.03,6842.79,2.26,4088.64,1180.19,31.74,497.2,3.01,95.42,4.69,315.38,8.47,272.98,2.44,391.78,692.54,11827.72,"Apodemus sylvaticus"
"16",1,30,2078218,234839,2438415,217328,166578,180000,28.37,7867.96,132858.28,6849.23,2.35,4316.32,1166.35,31.9,542.42,3.17,86.1,4.65,313.51,7.9,267.93,2.42,388.86,695.4,11144.88,"Mustela nivalis"
"17",1,31,2078218,234839,2539577,232862,178485,180000,27.98,7913.41,143798.34,6846.29,2.34,4365.26,1192.02,31.21,491.33,3.09,98.32,4.74,315.55,8.48,268.6,2.22,393.18,696.82,12025.82,"Mustela putorius"
"18",1,32,2078218,234839,9775,202,155,180000,0,3.15,125.61,0,0,0,0,0,0,0,0,0,8.53,0,0,0,0.81,0,16.9,"Myodes glareolus subsp skomerensis"
"19",1,33,2078218,234839,2486957,222360,170435,180000,28.38,7693.63,137259.74,6843.05,2.33,4349.87,1054.67,31.57,364.58,3.21,96.94,4.69,316.21,6.39,243.26,2.36,333.97,680.95,11119.2,"Myodes glareolus"
"20",1,35,2078218,234839,82273,1059,812,180000,0.77,144.68,579.61,3.19,0,0,0,0,0,0,0,0,4.61,0,0,0,3.96,5.61,69.57,"Myotis bechsteinii"
"21",1,36,2078218,234839,2532609,230931,177005,180000,28.82,8074.54,142214.2,6850.46,2.32,4370.91,1130.28,32.04,544.54,3.02,97.73,4.73,314.05,8.37,261.18,0.69,388.03,694.45,11984.64,"Myotis brandtii_mystacinus"
"22",1,37,2078218,234839,2520670,230578,176734,180000,28.52,7893.44,142147.83,6845.77,2.36,4362.6,1192.51,31.98,527.89,3.07,98.01,4.79,314.85,8.43,272,2.33,393.23,698.43,11905.96,"Myotis daubentonii"
"23",1,38,2078218,234839,2545915,234442,179696,180000,28.59,8075.49,144716.25,6848.54,2.23,4362.45,1193.04,31.49,546.98,3.12,98.99,4.47,314.65,8.21,273.26,2.52,391.6,693.93,12100.19,"Myotis nattereri"
"24",1,39,2078218,234839,2235637,199389,152828,180000,26.58,7473.17,121673.76,6831.34,2.39,4087.46,1022.03,31.97,342.56,3.19,90.21,4.78,314.43,5.29,231.67,2.3,327.7,673.23,9683.94,"Neomys fodiens"
"25",1,3,2078218,234839,1928020,174215,133533,180000,15.05,6125.63,108382.84,6782.5,0,3142.52,843.03,31.09,134.2,0,65.14,0,293.34,4.68,188.68,2.28,280.58,555.15,6686.29,"Arvicola amphibius"
"26",1,40,2078218,234839,2524431,233808,179210,180000,29.11,8042.45,144397.98,6839.85,2.2,4366.05,1179.15,31.09,512.26,3.14,99.4,4.67,314.06,8.48,268.68,2.4,374.37,693.92,12040.74,"Neovison vison"
"27",1,41,2078218,234839,846066,66974,51334,180000,18.66,3085.33,41996.35,314.53,2.34,1980.61,35.85,0,59.8,0,16.35,0,103.8,0,6.95,0,26.67,177.3,3509.46,"Nyctalus leisleri"
"28",1,42,2078218,234839,2547400,234560,179786,180000,28.64,8072.2,144811.71,6839.18,2.42,4364.86,1193.94,31.75,546.84,3.1,98.96,4.82,314.66,8.53,273.62,2.28,391.07,695.85,12101.57,"Nyctalus noctula"
"29",1,43,2078218,234839,2549381,234703,179896,180000,28.44,8075.56,144894.68,6855.29,2.44,4366.46,1195.48,31.89,543.52,3.16,98.74,4.72,314.98,8.62,274.95,2.32,392.3,696.61,12105.84,"Oryctolagus cuniculus"
"30",1,45,2078218,234839,1016618,102699,78717,180000,18,4208.45,63146.42,2931.39,2.37,1659.39,648.91,15.78,41.74,2.96,46.71,0,258.11,0,52.35,1.52,48.59,242.57,5391.74,"Pipistrellus nathusii"
"31",1,46,2078218,234839,2549372,234703,179896,180000,28.08,8072.47,144923.06,6847.48,2.36,4358.83,1191.91,31.38,546.74,3.06,99.01,4.72,314.54,8.58,272.69,2.39,391.88,694.61,12102.21,"Pipistrellus pipistrellus sl"
