common,scientific
YellowNeckedMouse,Apodemus flavicollis
WoodMouse,Apodemus sylvaticus
RoeDeer,Capreolus capreolus
RedDeer,Cervus elaphus
Sika,Cervus nippon
Fallow,Dama dama
Hedgehog,Erinaceus europaeus
Wildcat,Felis silvestris
EdibleDormouse,Glis glis
CWDeer,Hydropotes inermis
BrownHare,Lepus europaeus
MountainHare,Lepus timidus
PineMarten,Martes martes
Badger,Meles meles
FieldVole,Microtus agrestis
MuntjacDeer,Muntiacus reevesi
HazelDormouse,Muscardinus avellanarius
Stoat,Mustela erminea
Polecat,Mustela putorius
BankVole,Myodes glareolus
Rabbit,Oryctolagus cuniculus
GreySquirrel,Sciurus carolinensis
RedSquirrel,Sciurus vulgaris
CommonShrew,Sorex araneus
PygmyShrew,Sorex minutus
WildBoar,Sus scrofa
Mole,Talpa europaea
Fox,Vulpes vulpes
